"93103","44875","1","Do a Hop on, Hop off tour to get a layout of the city if you're a first timer, you'd realize how easy it is to navigate this wonderful city."
"93116","44881","1","On balance, for what we paid, we'd stay here again."
"93123","44884","1","Look elsewhere."
"93128","44886","1","There is some construction going on right now (July 2013) so be aware there may be some extra noise!"
"93131","44887","1","you may be in annex space (we were) and didn't know that was a possibility "
"93134","44888","1","If driving, ask about other parking options nearby. The bell captain let me know of an overnight option just a block away that was a fraction of the cost."
"93139","44890","1","If you don't want a room looking at the highway, you could try to get an interior room.  Honestly, highway noise was not even noticeable.  "
"93142","44891","1","Great place to stay. "
"93145","44892","1","Get a room facing San Marco"
"93150","44894","0","We stayed over the weekend and it was noisy late into the evening. "
"93167","44902","1","The downside of being near the blue mosque is you are right under the call to prayer at 4:30 am so close your windows.  Also, be careful--the one dinner recommendation the hotel gave us was very touristy."
"93174","44905","1","Bring supplies.  The only option for food is at the resort, which can be pricey."
"93179","44907","1","Make sure to have dinner at the restaurant, and visit the bar."
"93190","44912","0","Lots of nice bistros and cafés in the street. "
"93193","44913","1","Great Resort, enjoy."
"93196","44914","1","I would not recommend staying here; there are better hotels on Madeira to go to. Unless you are quite old, or like exceedingly starched sheets, the service here is a bit off. Go for the tea service, but don't stay here. "
"93199","44915","1","Borrow a bike from the hotel and spend a couple of hours riding around the seawall.
Rooms facing onto Hamilton Street - on weekends be prepared for the crowd getting out of the nightclub next door waking you up around 3 am."
"93214","44922","1","Get a spot at the pool early.  And don't be afraid to take advantage of the ""European"" style swimsuit suggestion.  Eat at the restaurant!"
"93221","44925","1","This is a FAMILY resort. Be prepared for lots of young children. If you're a couple without kids I highly recommend a duplex/beach suite."
"93238","44933","1","Great location for a night-life adventure but a little far from typical tourist destinations."
"93241","44934","1","Babysitting can be arranged through hotel concierge "
"93248","44937","0","Get the superior room slightly higher in rate but much bigger room"
"93257","44941","1","A room on the street was not overly loud but a room that looks onto the courtyard might be preferable if sensitive to noise."
"93260","44942","1","Hautement recommandé !"
"93269","44946","1","Do not hesitate to have dinner in their restaurant. Lovely menu. "
"93274","44948","1","Ask for a room on the upper floors. While windows are sound proof and your sleep will not be disturbed, the rooms on the square side (which they call river side) have a busy life outside."
"93281","44951","1","Plan for one more day than you intend to stay."
"93288","44954","1","Really enjoyed the terrace bar / restaurant area of the hotel. Definitely to be enjoyed when desiring some relaxation time."
"93291","44955","1","Travel light and only bring companions you really like."
"93300","44959","1","Get the tower rooms for the best views of the city. Amazing. My wife fell in love with San Francisco because of the view."
"93307","44962","1","Stay somewhere else."
"93314","44965","0","Camere DAVVERO minuscole e bagno INADEGUATO..."
"93317","44966","1","Get a pool-facing room.  Very peaceful oasis. 
I normally don't eat in the hotel restaurant, but got in late and it was a perfect easy meal out on the terrace -- and a decent price for the incredible service level and food. "
"93320","44967","1","Finger weg von diesem Hotel - ich frage mich ernsthaft, weshalb das ein Tablet-Hotel sein soll."
"93327","44970","1","Jo's coffee shop next store is great - a real treat.
I like to have a run down to the lake (river) there's a great park with running paths."
"93334","44973","1","Don't hesitate to ask the staff for help, recommendations, etc. -- they were amazingly helpful."
"93341","44976","1","Some of the best Indian food I've ever had out the back door of the hotel: Woodlands."
"93350","44980","1","No parking - so return your car if you have one."
"93355","44982","0","get the mezzanine suites as apposed to patio view"
"93358","44983","1","Enjoy the tranquillity and make sure you sample all the public areas, particularly the fabulous pool."
"93361","44984","1","It's the perfect low key place to take a relaxing and beautiful getaway.  If you're looking for a party resort or a large chain establishment - this is not it.  If you're looking to be impressed by an amazing staff, clean grounds, and private vacation....you'll find it here!  
Stayed just around the beginning of rainy season and yes, it did rain in the afternoon - but you can catch enough sun in the morning and by 3-4PM rain, you could use a break anyways..."
"93366","44986","1","Try for a courtyard room, they seemed to have a better connection to the outside world, the window rooms are quite dark."
"93383","44994","1","Opter pour une corner suite."
"93386","44995","1","Dalle immagini sempra tutto molto bello e molto ampio. Invece l'hotel è fannè e gli spazi motlo angusti ai limiti della claustrofobia. Anche la sala colazione nel seminterrato e angosciante."
"93393","44998","1","The restaurant isn't exciting within the hotel, but there are many great eateries within a 5 minute taxi ride."
"93398","45000","1","The wifi overloaded, unable to use email. Rooms are small (even for a suite). Faucets, showers were calcified, clogged. Rooms designed to look contemporary to an audience who doesn't know what it means."
"93401","45001","1","Not as many Tablet Plus benefits as other hotels in the Tablet Plus network."
"93406","45003","1","twin beds were a surprise rather than one bed. "
"93409","45004","1","Stay away from this hotel."
"93418","45008","1","try to book a room with a city view. i loved sitting on the window sill and staring out at the castle+quiet street."
"93421","45009","1","O café da manhã é de propaganda de margarina e o serviço muito eficiente."
"93424","45010","1","Don't stay here."
"93427","45011","1","Skip Memphis.  What a dump of a gritty city.  Wish we went somewhere else.  Unfortunate for the hotel."
"93430","45012","1","Es werden Fahrräder zum Mieten angeboten, das ist sehr empfehlenswert.
Man parkt preiswerter als in der Tiefgarage auf dem Parkplatz gegenüber der Polizei. Ca. 3 Minuten zu Fuss vom Hotel entfernt"
"93433","45013","1","WOULDNT BE MY FIRST CHOICE IN NEWPORT"
"93440","45016","1","Make sure you have a massage! "
"93449","45020","1","Use the lounge areas for late night beverages and delayed desserts !"
"93456","45023","1","The price is representative of what you are going to get. While cheap and cool options have emerged in new markets, this doesn't meet those standards. This hotel does not have the cultural draw or amenities like an Ace Hotel, for instance. "
"93463","45026","1","The basic rooms are tiny tiny tiiiiiny. Not for tall/large people, especially the bathroom... I'm 5'3"" and still barely had enough space in there to get ready in the morning. But if you need to stay near Columbus Circle and can get a good advance purchase rate (less than $200/night) it's totally worth it. I'm an ex-New Yorker traveling back periodically for business, so I'd like to think I know what I'm talking about. :)"
"93474","45031","1","Pick another design hotel"
"93477","45032","1","BOOK SOMEWHERE ELSE "
"93480","45033","0","Look elsewhere if you care at all about staying at a nice hotel. "
"93483","45034","1","We were on the 10th floor which was lovely and light."
"93486","45035","1","Go up to the roof terrace bar,  but not on a rainy night. "
"93499","45041","0","stay in the room with balcony"
"93508","45045","1","splurge for the canal facing rooms with a tub for two"
"93511","45046","1","L'hôtel vaut avant tout pour la vue de certaines chambres, privilégiez celles qui donnent sur downtown (coin sud ouest du bâtiment et étages élevés ou celles sur midtown et l'Empire State Building."
"93514","45047","1","Monday nights: sissy bingo in the bar."
"93517","45048","1","The hotel is incredibly loud, from both poor sound proofing between the rooms (yes Tammy in the next room did make some serious panting noises) and poorly sound proofed windows! The lower floors have excessive noise from the bars under The High Line (a squawking chorus of ladies singing badly at 2am) and the upper floors have the bass thumping through the ceiling from the club on the top floor. Not a problem if you're at either or like wearing ear plugs; the free pair of ""The Standard"" branded ear plugs in the bathroom should have given that away. So make sure you've not come to this hotel to relax or get much sleep. There may probably be a sweet spot around the 11th floor where the noise from below counteracts the noise from above but we didn't find it.

Don't expect to get a table at the restaurant, they don't keep tables for guests and if you wish to speak to the concierge be prepared for a 15 minute wait, I hung up eventually and just headed down the road to Barbuto for some great chicken eventually and managed to squeeze into the Standard Grill for a late brunch, no thanks to the hotel...

We had a little staycation here as we live in New York and we're not adverse to a bit of noise and a late night or ten but this hotel is worth avoiding unless you're from somewhere out of town where you're impressed with bad service and the boom boom... choose The Mark instead any day..."
"93520","45049","1","Try the restaurat. It's really excellent."
"93531","45054","1","Au Pied de Cochon is a must go for dinner - don't miss it and try and snag a seat at the bar in front of the kitchen - you won't be disappointed.

Nora Grey in the Griffin hood is awesome, too.

The nighttime lightshow/history of Notre Dame is pretty cool."
"93534","45055","1","Was a little difficult to find, being that there is a Bonham Street East and Bonham Street West, I spent a good 25 minutes walking up and back to find the hotel"
"93539","45057","1","Try the rooms with ocean views."
"93548","45061","1","at $42 bucks a night for parking and the chipped paint on my BMW, think about taking the train?"
"93555","45064","1","Housekeeping consistently came by our room on the 8th floor between 8-9 AM to clean each day. Make sure to use your ""Do Not Disturb"" sign on the first day to avoid an early knock on the door if you are on vacation!"
"93560","45066","1","Basic rooms are quite small....go for bigger rooms with views and balconies!"
"93565","45068","1","Not really a family hotel unless it is during the week as the pool is infliltrated by loud annoying people at weekends!"
"93568","45069","1","Stay above 12th floor for good view."
"93581","45075","1","make sure to bring your directions! you will not find this place without them!"
"93584","45076","1","make sure you explore the old port. Super part of town "
"93593","45080","1","I would not recommend this hotel"
"93602","45084","1","This hotel has a great location, practically next to The Highline-make time to walk it.
Make a reservation for the rooftop restaurant. Views are great and so is the food. 
"
"93607","45086","1","evitate di farvi influenzare dal fatto che sia un Thompson , non c'entra nulla !"
"93614","45089","1","Room 6 on the corner is fantastic."
"93617","45090","1","Very limited service so if you want that its not your kind of place. Simple breakfast and snacks but all you need. Good internet access."
"93620","45091","1","large rooms, simple very traditional decor, comfortable beds, dated bathrooms, very worn. "
"93631","45096","1","The hotel rooms are bit small but the location of the hotel was spot on.  "
"93634","45097","1","I strongly suggest having the hotel send a car to collect you from the airport.  Most taxi drivers aren't aware of this hidden gem and can't locate it easily."
"93639","45099","1","Wait until they refurbish"
"93642","45100","1","Great hotel, great location. Bring your ATM card!"
"93649","45103","1","Ask for a room with a view over the canal- lovely!!!"
"93654","45105","1","Enjoy the rooftop"
"93659","45107","1","冷蔵庫のチャージについてはチェックインの時のペーパーに小さく記載されていますので冷蔵庫の個人的使用は不可と考えた方が良いです。"
"93664","45109","1","The in house resturant Maxi is a must."
"93667","45110","1","Eviter de se baigner dans la mer."
"93672","45112","1","The rooms are very small, like most London hotels. Book a larger room than you think you'll need if space is an issue. Internet is available, but expensive - 20p per minute, up to a total of £20 per day."
"93677","45114","1","Always check with concierge; he/she can do a lot of things that we can't on our own"
"93682","45116","1","Preguntar si ya no están construyendo a un lado del hotel  mucho ruido "
"93685","45117","1","Guests should be aware that this hotel is a 10 minute walk from the closest U-Bahn or S-Bahn station and while it is adjacent to the Tiergarten, it is far from the main sights."
"93687","45118","1","Check out the club sandwich!"
"93694","45121","1","Do opt for the better rooms . Some of the smaller ones looked a little dark."
"93717","45132","1","Gather for the free glass of wine in the library lounge, jazz on Fridays."
"93722","45134","1","Great location - close to downtown! Have already recommended to many people!"
"93729","45137","1","Stay at the back. Don't book if you cant handle a flight or two of stairs."
"93734","45139","1","バーも、レストランもないので、そういうサービスの充実を求める方向けではないかも。"
"93753","45148","0","rooms are smaller than the group's London hotels but the sprit is the same"
"93756","45149","1","Eat in the restaurants, for sure!"
"93767","45154","1","Have drinks on 6th floor balcony at night for the most romantic view of the bay of Naples you cn imagine. "
"93770","45155","1","Do not stay here! Wifi did not work the entire time"
"93773","45156","1","Great place if you area looking for something off the beating path that is quiet and just want to relax.  I used this as the half way point between Amalfi and Lake Como."
"93776","45157","1","Book room 510 if its availablem you won't be sorry"
"93781","45159","1","The tablet plus membership meant I got a fantastic upgrade. "
"93788","45162","1","Get a room that isn't painted black"
"93797","45166","1","Be aware of the slow elevators and the busy lobby."
"93806","45170","1","If you are just staying in the city around the financial district, there is no need to get a tube card. This hotel is an easy walk to to Liverpool Station, Moorgate and Bank.

if you in the area try ""Le Relais de Venise"" close to Bank - Great french steak and frites restaurant.  If you are meeting clients for breakfast do the main hall at the Royal Exchange. Grab a great pint at The George Bar, on Liverpool street 3 min walk from the hotel."
"93809","45171","1","There is a very good cafe over the road from the hotel (Cafe Milagro), with much better food."
